lr-SGD,step,train_loss_step,train_acc_step,epoch,valid_loss,valid_acc,train_loss_epoch,train_acc_epoch,test_loss,test_acc
0.004826167939678341,49,,,,,,,,,
,49,1.894094467163086,0.306640625,0,,,,,,
,78,,,0,1.7100218534469604,0.36579999327659607,,,,
,78,,,0,,,2.0150349140167236,0.24879999458789825,,
0.007342644083661878,99,,,,,,,,,
,99,1.554185390472412,0.435546875,1,,,,,,
0.011459586044209755,149,,,,,,,,,
,149,1.446345329284668,0.484375,1,,,,,,
,157,,,1,1.4610686302185059,0.4634999930858612,,,,
,157,,,1,,,1.5358846187591553,0.42750000953674316,,
0.01702944758304982,199,,,,,,,,,
,199,1.2471429109573364,0.541015625,2,,,,,,
,236,,,2,1.459201455116272,0.504800021648407,,,,
,236,,,2,,,1.3141701221466064,0.520550012588501,,
0.023852611575231608,249,,,,,,,,,
,249,1.1668351888656616,0.568359375,3,,,,,,
0.03168454404631295,299,,,,,,,,,
,299,1.0869734287261963,0.6015625,3,,,,,,
,315,,,3,1.474606990814209,0.5149000287055969,,,,
,315,,,3,,,1.1659964323043823,0.5817000269889832,,
0.04024455797530029,349,,,,,,,,,
,349,1.0179986953735352,0.623046875,4,,,,,,
,394,,,4,1.6000068187713623,0.5044000148773193,,,,
,394,,,4,,,1.0189871788024902,0.6359999775886536,,
0.04922587277920693,399,,,,,,,,,
,399,0.9633170962333679,0.642578125,5,,,,,,
0.0583066089594261,449,,,,,,,,,
,449,0.8006255626678467,0.7109375,5,,,,,,
,473,,,5,1.8651902675628662,0.5073000192642212,,,,
,473,,,5,,,0.8853721618652344,0.6834250092506409,,
0.06716132387504307,499,,,,,,,,,
,499,0.7144629955291748,0.74609375,6,,,,,,
0.07547267521487366,549,,,,,,,,,
,549,0.7189201712608337,0.732421875,6,,,,,,
,552,,,6,1.0200169086456299,0.641700029373169,,,,
,552,,,6,,,0.8063692450523376,0.718625009059906,,
0.0829427941634471,599,,,,,,,,,
,599,0.6378557085990906,0.7734375,7,,,,,,
,631,,,7,2.1119766235351562,0.4677000045776367,,,,
,631,,,7,,,0.724675714969635,0.7462000250816345,,
0.08930396066037159,649,,,,,,,,,
,649,0.5750707387924194,0.79296875,8,,,,,,
0.09432819816465181,699,,,,,,,,,
,699,0.6201877593994141,0.78515625,8,,,,,,
,710,,,8,1.8082489967346191,0.5242000222206116,,,,
,710,,,8,,,0.6590869426727295,0.7684999704360962,,
0.09783544405916898,749,,,,,,,,,
,749,0.5583698153495789,0.810546875,9,,,,,,
,789,,,9,0.9306989312171936,0.7117000222206116,,,,
,789,,,9,,,0.5679799318313599,0.8009250164031982,,
0.09970000287787321,799,,,,,,,,,
,799,0.4702010154724121,0.822265625,10,,,,,,
0.09997232298068263,849,,,,,,,,,
,849,0.4216519892215729,0.84375,10,,,,,,
,868,,,10,0.7964611053466797,0.7448999881744385,,,,
,868,,,10,,,0.5261684656143188,0.8168500065803528,,
0.09967299383598947,899,,,,,,,,,
,899,0.45451346039772034,0.8359375,11,,,,,,
,947,,,11,1.2658101320266724,0.6593999862670898,,,,
,947,,,11,,,0.4834582507610321,0.8325250148773193,,
0.09904667534393143,949,,,,,,,,,
,949,0.5230178236961365,0.81640625,12,,,,,,
0.09809749047523643,999,,,,,,,,,
,999,0.4759000539779663,0.830078125,12,,,,,,
,1026,,,12,0.80320143699646,0.7312999963760376,,,,
,1026,,,12,,,0.4559253454208374,0.842074990272522,,
0.09683168758673674,1049,,,,,,,,,
,1049,0.3937126398086548,0.87890625,13,,,,,,
0.09525759928927305,1099,,,,,,,,,
,1099,0.400290310382843,0.859375,13,,,,,,
,1105,,,13,0.8757023215293884,0.7437999844551086,,,,
,1105,,,13,,,0.4076167047023773,0.8563500046730042,,
0.09338558759523345,1149,,,,,,,,,
,1149,0.4010173976421356,0.875,14,,,,,,
,1184,,,14,0.8206495046615601,0.7325000166893005,,,,
,1184,,,14,,,0.3708477318286896,0.8704249858856201,,
0.09122797570681423,1199,,,,,,,,,
,1199,0.2794049084186554,0.908203125,15,,,,,,
0.08879896689403056,1249,,,,,,,,,
,1249,0.3580564260482788,0.875,15,,,,,,
,1263,,,15,0.5959120392799377,0.8014000058174133,,,,
,1263,,,15,,,0.33665820956230164,0.8824750185012817,,
0.08611455099649278,1299,,,,,,,,,
,1299,0.3041960895061493,0.888671875,16,,,,,,
,1342,,,16,0.6662672162055969,0.7935000061988831,,,,
,1342,,,16,,,0.3218570649623871,0.8895999789237976,,
0.08319239916443437,1349,,,,,,,,,
,1349,0.32420989871025085,0.888671875,17,,,,,,
0.08005174753189725,1399,,,,,,,,,
,1399,0.27181777358055115,0.900390625,17,,,,,,
,1421,,,17,0.7298195362091064,0.7888000011444092,,,,
,1421,,,17,,,0.29786422848701477,0.8952249884605408,,
0.07671327058783839,1449,,,,,,,,,
,1449,0.2699889540672302,0.900390625,18,,,,,,
0.07319894507873867,1499,,,,,,,,,
,1499,0.22780466079711914,0.9140625,18,,,,,,
,1500,,,18,0.7405153512954712,0.7807999849319458,,,,
,1500,,,18,,,0.27236267924308777,0.9042999744415283,,
0.06953190533862492,1549,,,,,,,,,
,1549,0.24741718173027039,0.916015625,19,,,,,,
,1579,,,19,0.5983031988143921,0.820900022983551,,,,
,1579,,,19,,,0.23305578529834747,0.9172499775886536,,
0.06573629099884827,1599,,,,,,,,,
,1599,0.2426666021347046,0.916015625,20,,,,,,
0.06183708808012483,1649,,,,,,,,,
,1649,0.22859668731689453,0.919921875,20,,,,,,
,1658,,,20,0.5879833698272705,0.8274999856948853,,,,
,1658,,,20,,,0.22649863362312317,0.920199990272522,,
0.05785996451290852,1699,,,,,,,,,
,1699,0.207953542470932,0.927734375,21,,,,,,
,1737,,,21,0.5232417583465576,0.8331999778747559,,,,
,1737,,,21,,,0.2121269255876541,0.9248499870300293,,
0.053831101168843695,1749,,,,,,,,,
,1749,0.18655475974082947,0.931640625,22,,,,,,
0.04977701951559423,1799,,,,,,,,,
,1799,0.15362407267093658,0.93359375,22,,,,,,
,1816,,,22,0.5188113451004028,0.8463000059127808,,,,
,1816,,,22,,,0.17816005647182465,0.9368249773979187,,
0.04572440702957508,1849,,,,,,,,,
,1849,0.18646793067455292,0.94140625,23,,,,,,
,1895,,,23,0.5245053768157959,0.8439000248908997,,,,
,1895,,,23,,,0.17341265082359314,0.9388250112533569,,
0.04169994151587004,1899,,,,,,,,,
,1899,0.21415817737579346,0.931640625,24,,,,,,
0.03773011549181493,1949,,,,,,,,,
,1949,0.15324290096759796,0.94921875,24,,,,,,
,1974,,,24,0.5803882479667664,0.8400999903678894,,,,
,1974,,,24,,,0.16378271579742432,0.9419749975204468,,
0.033841061790305084,1999,,,,,,,,,
,1999,0.12193309515714645,0.95703125,25,,,,,,
0.030058381530857152,2049,,,,,,,,,
,2049,0.18228676915168762,0.94140625,25,,,,,,
,2053,,,25,0.602979838848114,0.8310999870300293,,,,
,2053,,,25,,,0.13273346424102783,0.9539750218391418,,
0.02640697559086917,2099,,,,,,,,,
,2099,0.12952624261379242,0.951171875,26,,,,,,
,2132,,,26,0.4905719757080078,0.8640999794006348,,,,
,2132,,,26,,,0.12225542962551117,0.9571999907493591,,
0.022910880686480443,2149,,,,,,,,,
,2149,0.11043176800012589,0.951171875,27,,,,,,
0.019593111142089253,2199,,,,,,,,,
,2199,0.08750437200069427,0.96875,27,,,,,,
,2211,,,27,0.4536804258823395,0.867900013923645,,,,
,2211,,,27,,,0.09921068698167801,0.9662250280380249,,
0.016475507390138578,2249,,,,,,,,,
,2249,0.06112499535083771,0.984375,28,,,,,,
,2290,,,28,0.4727301299571991,0.8722000122070312,,,,
,2290,,,28,,,0.0842934101819992,0.9717249870300293,,
0.013578592198475094,2299,,,,,,,,,
,2299,0.11646611243486404,0.95703125,29,,,,,,
0.010921435571717836,2349,,,,,,,,,
,2349,0.07492643594741821,0.970703125,29,,,,,,
,2369,,,29,0.4206657111644745,0.8806999921798706,,,,
,2369,,,29,,,0.07488775998353958,0.9746249914169312,,
0.008521529215972554,2399,,,,,,,,,
,2399,0.07383710891008377,0.98046875,30,,,,,,
,2448,,,30,0.43640708923339844,0.8770999908447266,,,,
,2448,,,30,,,0.06202438473701477,0.9792749881744385,,
0.006394671393273657,2449,,,,,,,,,
,2449,0.07764493674039841,0.9765625,31,,,,,,
0.004554862923741684,2499,,,,,,,,,
,2499,0.055957429111003876,0.9765625,31,,,,,,
,2527,,,31,0.4145227074623108,0.8859000205993652,,,,
,2527,,,31,,,0.057697948068380356,0.9812250137329102,,
0.0030142150200600623,2549,,,,,,,,,
,2549,0.05212753266096115,0.990234375,32,,,,,,
0.001782869560984558,2599,,,,,,,,,
,2599,0.06390432268381119,0.9765625,32,,,,,,
,2606,,,32,0.4137811064720154,0.885699987411499,,,,
,2606,,,32,,,0.05188753083348274,0.983299970626831,,
0.0008689323287140396,2649,,,,,,,,,
,2649,0.0731828510761261,0.96484375,33,,,,,,
,2685,,,33,0.4230048358440399,0.883899986743927,,,,
,2685,,,33,,,0.05044122040271759,0.9829999804496765,,
0.00027841964961216676,2699,,,,,,,,,
,2699,0.04132664576172829,0.990234375,34,,,,,,
1.5218789536947162e-05,2749,,,,,,,,,
,2749,0.03846009820699692,0.98828125,34,,,,,,
,2764,,,34,0.3965543508529663,0.8891000151634216,,,,
,2764,,,34,,,0.04803738370537758,0.9854999780654907,,
,2765,,,35,,,,,0.3974108397960663,0.9000999927520752
