lr-Adam,step,train_loss_step,train_acc_step,epoch,train_loss_epoch,train_acc_epoch,test_loss_step,test_acc_step,test_loss_epoch,test_acc_epoch
0.00505176470046359,49,,,,,,,,,
,49,1.7882038354873657,0.32421875,0,,,,,,
,97,,,0,1.8608829975128174,0.3109000027179718,,,,
0.008245037055581064,99,,,,,,,,,
,99,1.621477723121643,0.412109375,1,,,,,,
0.01343456815906123,149,,,,,,,,,
,149,1.3798106908798218,0.505859375,1,,,,,,
,195,,,1,1.4732201099395752,0.46143999695777893,,,,
0.020383592940884918,199,,,,,,,,,
,199,1.354430079460144,0.517578125,2,,,,,,
0.028775071902448796,249,,,,,,,,,
,249,1.3037738800048828,0.51953125,2,,,,,,
,293,,,2,1.2802549600601196,0.5370000004768372,,,,
0.03822615559853675,299,,,,,,,,,
,299,1.195750117301941,0.5625,3,,,,,,
0.048305651605702084,349,,,,,,,,,
,349,1.1787768602371216,0.591796875,3,,,,,,
,391,,,3,1.2101269960403442,0.5648999810218811,,,,
0.05855369707115366,399,,,,,,,,,
,399,1.2171533107757568,0.556640625,4,,,,,,
0.06850273930972495,449,,,,,,,,,
,449,1.2343249320983887,0.568359375,4,,,,,,
,489,,,4,1.205277442932129,0.5684599876403809,,,,
0.07769886723864784,499,,,,,,,,,
,499,1.1559052467346191,0.57421875,5,,,,,,
0.08572252043337135,549,,,,,,,,,
,549,1.2251354455947876,0.5703125,5,,,,,,
,587,,,5,1.2150695323944092,0.5669400095939636,,,,
0.09220763098283033,599,,,,,,,,,
,599,1.105698823928833,0.587890625,6,,,,,,
0.09685832482389503,649,,,,,,,,,
,649,1.2496278285980225,0.576171875,6,,,,,,
,685,,,6,1.1937806606292725,0.5730800032615662,,,,
0.09946242058006709,699,,,,,,,,,
,699,1.2057404518127441,0.564453125,7,,,,,,
0.09998112595608279,749,,,,,,,,,
,749,1.1938380002975464,0.59375,7,,,,,,
,783,,,7,1.1716291904449463,0.5811200141906738,,,,
0.09964598364872199,799,,,,,,,,,
,799,1.0684330463409424,0.615234375,8,,,,,,
0.09889465267871751,849,,,,,,,,,
,849,1.1299123764038086,0.615234375,8,,,,,,
,881,,,8,1.151386022567749,0.5865200161933899,,,,
0.09773343157554412,899,,,,,,,,,
,899,1.1163206100463867,0.603515625,9,,,,,,
0.09617205504419474,949,,,,,,,,,
,949,1.185390591621399,0.5625,9,,,,,,
,979,,,9,1.1262460947036743,0.5970799922943115,,,,
0.09422361235756845,999,,,,,,,,,
,999,1.088913083076477,0.623046875,10,,,,,,
0.09190443762697105,1049,,,,,,,,,
,1049,1.0895638465881348,0.607421875,10,,,,,,
,1077,,,10,1.1146899461746216,0.5998799800872803,,,,
0.08923397287060891,1099,,,,,,,,,
,1099,1.0709642171859741,0.591796875,11,,,,,,
0.08623460502799435,1149,,,,,,,,,
,1149,1.0897375345230103,0.5859375,11,,,,,,
,1175,,,11,1.0992051362991333,0.6079999804496765,,,,
0.0829314782865981,1199,,,,,,,,,
,1199,1.1282719373703003,0.580078125,12,,,,,,
0.07935228329404434,1249,,,,,,,,,
,1249,1.0624308586120605,0.625,12,,,,,,
,1273,,,12,1.0654343366622925,0.6196799874305725,,,,
0.0755270250229171,1299,,,,,,,,,
,1299,1.1166110038757324,0.583984375,13,,,,,,
0.07148777123420474,1349,,,,,,,,,
,1349,1.058213472366333,0.638671875,13,,,,,,
,1371,,,13,1.0483274459838867,0.6233999729156494,,,,
0.0672683836480545,1399,,,,,,,,,
,1399,1.008937954902649,0.65234375,14,,,,,,
0.06290423407547614,1449,,,,,,,,,
,1449,1.0687227249145508,0.6171875,14,,,,,,
,1469,,,14,1.0206507444381714,0.6376199722290039,,,,
0.058431907890708915,1499,,,,,,,,,
,1499,1.0551831722259521,0.634765625,15,,,,,,
0.05388889733009083,1549,,,,,,,,,
,1549,1.0557034015655518,0.6328125,15,,,,,,
,1567,,,15,0.9937672019004822,0.64656001329422,,,,
0.0493132871885559,1599,,,,,,,,,
,1599,0.9480603337287903,0.654296875,16,,,,,,
0.044743435548616414,1649,,,,,,,,,
,1649,1.0182350873947144,0.64453125,16,,,,,,
,1665,,,16,0.9514228701591492,0.6596800088882446,,,,
0.040217652218331054,1699,,,,,,,,,
,1699,0.9067081212997437,0.685546875,17,,,,,,
0.035773877573965704,1749,,,,,,,,,
,1749,0.9368091225624084,0.685546875,17,,,,,,
,1763,,,17,0.9100538492202759,0.6761599779129028,,,,
0.031449364499660834,1799,,,,,,,,,
,1799,0.9396787881851196,0.666015625,18,,,,,,
0.027280366090456976,1849,,,,,,,,,
,1849,0.9164987802505493,0.677734375,18,,,,,,
,1861,,,18,0.8670175671577454,0.6908800005912781,,,,
0.023301831736714615,1899,,,,,,,,,
,1899,0.8024287819862366,0.71875,19,,,,,,
0.01954711413770184,1949,,,,,,,,,
